loan_amount,interest_rate,tenure_months,borrower_income,credit_score,default,risk_segment
234362.79022031388,13.923277063424017,24,65556.17670401934,606.8883816811225,0,Subprime
539372.2471738247,8.692772285332644,60,37901.40210040664,622.3030214798289,0,Subprime
647693.315999082,11.915860606732824,48,91078.89429289999,668.7741122955221,0,Subprime
534273.6562379941,12.772152685660688,60,93037.82505970346,620.7254231378502,0,Subprime
476870.3435223519,12.427734806196222,24,53055.713664843875,613.3046293170441,0,Subprime
439779.26088214223,14.457064616101166,48,55442.039018275944,681.5591249528039,0,Prime
204295.60192651453,11.532740202853399,12,59396.55698445316,530.3570993856489,1,High Risk
356031.15832105826,17.363092001973413,36,45053.426033208765,742.7934121488474,0,Low Risk
407872.24580804247,14.000621194754592,24,15000.0,631.5799980100518,1,Subprime
711424.4452437832,13.972099036584156,24,77448.79081565404,569.5473199407302,1,High Risk
568723.6579136923,13.016315850461247,24,67086.86921897069,558.7832252382135,1,High Risk
147391.9689274532,14.465572051576938,48,70155.62465520279,653.4121509164258,0,Subprime
564816.793878959,16.475294794002906,12,49645.89436973684,625.4913832177299,0,Subprime
422983.5439167367,11.398609352867298,60,104314.92497450802,526.0927940384993,0,High Risk
364615.59993880824,12.02565053277423,12,152761.74768251245,601.8531915697491,0,Subprime
622335.2577681736,13.088821913670007,48,54977.45431936534,585.2640797693747,0,Subprime
706199.9044991902,9.962387229580354,24,121990.88416917044,750.9485229216696,0,Low Risk
686256.0238232397,11.542226420835506,36,90999.49436441882,660.4361931977394,0,Subprime
332156.4953554723,12.571337379366023,24,81062.59675347302,775.5471542696447,0,Low Risk
438157.5248297571,16.623167542138184,60,69676.31790311506,593.2020620506194,0,Subprime
566252.6862807128,14.787683987005774,36,77503.49389298023,626.7094489004776,0,Subprime
695109.0254244718,14.580769734102633,24,114487.72069095878,680.9242580188571,0,Prime
404165.152430942,16.552693886503917,36,45857.57117130463,698.3306088459227,0,Prime
462868.2046672366,13.58788463480181,12,71749.79806545646,707.6792857962372,0,Prime
278733.00519879436,15.171394549786669,48,117470.0062346751,578.975235805322,0,High Risk
260758.67518386585,13.690334741202511,24,109511.44080583991,581.2256690407523,0,Subprime
662505.1644788396,14.796087048198885,60,46322.4218314927,621.5663782810259,0,Subprime
771248.0057141646,12.251724027165254,12,74522.24366656864,768.4725491268478,0,Low Risk
485597.97568393324,6.683548525170712,24,101840.23543502082,569.9453453254771,0,High Risk
700706.5795784048,13.597162513441088,12,99902.8435796329,607.8459995074676,0,Subprime
572327.2050095268,18.26824440829982,60,109254.03563729863,708.3886331538549,1,Prime
370976.04907897516,16.778646206724776,24,91528.57664501894,704.1083411799056,0,Prime
572279.1211016828,16.896192453773512,60,96558.59443987352,694.4334694254336,0,Prime
807607.3132931938,17.708392165418655,36,90283.89265781477,656.4674864623441,0,Subprime
492834.7921780097,14.265972772884313,60,127391.99232583672,564.7893102760211,1,High Risk
812928.7311628013,14.591947122216787,36,67345.66461706345,594.7379256878291,0,Subprime
50000.0,12.147044313696949,24,81445.73488835651,740.119214074316,0,Low Risk
664380.5008750447,13.051781431918851,36,49550.935030468725,711.8909866604594,0,Prime
517409.41364763427,15.847313449313425,24,43639.34699586763,543.2012073779628,0,High Risk
440198.5299068265,17.611653311506448,24,89748.70103175142,719.5566103763857,0,Prime
518352.15530710045,13.581661172957002,48,58274.41202174443,754.7022751011468,0,Low Risk
102486.21707982145,12.649432205445766,24,78269.43191307932,654.3064630970937,0,Subprime
456065.6224324976,14.001583876569791,36,128532.47931572628,684.1024944543685,0,Prime
571422.5143023493,15.803620246787345,48,126798.13107118462,730.9188148460967,0,Prime
795578.8089483032,9.668435551599375,48,146721.343360649,594.3426883070078,0,Subprime
396345.9563452705,7.111457140588286,24,129129.57525197364,836.3678243697184,0,Low Risk
338301.27942136244,12.34838945152525,60,152090.5457535647,747.8462382917226,0,Low Risk
399648.5912830927,10.337862722257524,60,93095.89003437683,691.922251776277,0,Prime
683080.4235404148,12.475579407058067,48,52909.38252066249,647.239372465223,0,Subprime
565750.2219319369,13.556659043547585,24,49988.22291543559,689.5821955690998,0,Prime
394047.95924659225,12.640254772930959,60,121889.9182232456,525.1774001068444,0,High Risk
602653.4866226712,18.357402603412236,24,81548.7950843126,816.5670214327695,0,Low Risk
519415.5098696081,14.98023429380696,24,83783.94547538047,740.311325875388,0,Low Risk
693728.9981065779,14.901423078832485,48,63527.86736138559,767.1210877441804,0,Low Risk
359589.3812245295,15.866621432130206,48,67124.78181052153,652.4605730946954,0,Subprime
434467.57068044634,10.583500646657694,12,91512.77869330776,621.1768643136297,0,Subprime
421578.36937356845,17.117335362260807,60,48343.2952962789,596.055423731978,0,Subprime
207297.0103735763,13.77270714039362,60,87714.15397424287,715.0859687077445,0,Prime
559224.0554129152,16.01144185172364,60,125332.40585405388,608.9962336274983,0,Subprime
552211.0544359778,10.784428300879533,36,15990.924750235376,635.0114453452235,0,Subprime
501022.6913284922,9.338723701951807,24,33760.643657686596,693.71193013402,0,Prime
453082.5733249706,16.453668974075086,48,100268.29884509175,597.2537346530929,0,Subprime
216925.85158991715,15.12922857829255,60,120919.03620982589,733.5157411186552,0,Prime
415870.9354469282,11.293845336927468,12,65303.21809580954,648.5807137688116,0,Subprime
431457.0966946461,11.391010756175916,60,20052.781548663843,529.3504545363222,1,High Risk
339544.54615567625,17.376304353244308,24,122957.72521822256,596.3997856985337,0,Subprime
467742.85766679817,10.431764321398017,24,55668.04544256427,754.6548359976211,0,Low Risk
580810.1713629076,18.92801885976789,48,69162.60971217163,575.0397989310094,1,High Risk
877237.1802421061,11.298137796056395,36,89571.3461695933,721.5261989790095,0,Prime
534915.5625663678,15.91517577682515,48,60006.998842677276,659.7338749355658,0,Subprime
551510.0781445529,13.014144572753047,60,53716.10818528416,636.2639758616709,0,Subprime
485110.81684676657,15.80956229324703,12,54265.99422307734,850.0,0,Low Risk
116245.75694019173,12.367657993657422,48,135737.8568278305,547.2627005656277,0,High Risk
494697.2249101566,13.511621281783118,36,114788.40765275844,590.7893116008173,0,Subprime
512046.0419882053,14.122757526187163,48,97235.52021851545,648.1255944813274,0,Subprime
992648.4224970572,10.993437632655581,24,15000.0,843.2599513640066,1,Low Risk
461527.8070437755,16.22247303626038,60,97345.7568516676,648.3119058566153,0,Subprime
560309.4684667225,12.460359300585244,60,95726.00625228407,671.9402350844362,0,Prime
493057.64605895133,13.314200253979944,60,41656.005794445024,623.1331600330692,0,Subprime
266264.3924760936,11.016951876174463,60,87761.30400421498,678.6902862849523,0,Prime
728564.5629030041,6.3129990236140685,60,111544.77488776066,628.094607469083,0,Subprime
650386.6065373549,13.426916712199493,60,97080.9775578132,705.6258083546604,0,Prime
658206.3894086094,21.237846264838748,12,59594.91794899323,711.9349861188396,0,Prime
318122.5090410522,16.35381286369407,36,80397.9392925192,631.2715869737441,0,Subprime
780558.8621872198,13.942218860796816,60,101910.70793603596,559.961596952315,0,High Risk
219629.78744154383,13.211327512375197,36,81783.56102652948,657.4855877620589,0,Subprime
617371.418760054,14.067397678436139,60,117628.54667320685,762.1697398736933,0,Low Risk
938091.1251619956,15.64135734552563,48,91870.44670520326,583.8671524976633,0,Subprime
301892.7349738623,10.457561554073465,60,102587.67995863492,676.7133512314641,0,Prime
386740.4540794456,17.342965084006615,24,104642.0194097528,553.5407655989906,0,High Risk
519930.27301752823,16.146143946323733,12,47999.518900824114,566.815413241878,0,High Risk
399304.86917676014,16.154557177123802,48,81499.58106070037,754.029266824239,0,Low Risk
189867.31378677348,15.315427216429182,48,70029.36579443105,705.3226706119424,0,Prime
513712.59496120544,14.05884997308197,24,111315.37984421235,677.9172104030743,0,Prime
287539.257254779,16.01858370790046,60,93896.99140112074,464.25813885533637,1,High Risk
594718.4861270363,15.775442401224135,12,74353.62613683229,605.7685702850634,0,Subprime
316115.1531532394,12.937877867176928,48,41544.45789672011,698.545120246935,0,Prime
809986.8810035079,12.279194681309297,12,32092.750036383768,534.0747593663208,1,High Risk
343349.3415327526,14.30556888578596,48,89310.27859834861,621.6891688073123,0,Subprime
435587.6967588649,18.647060454485562,60,58483.6196829962,711.3322968495454,0,Prime
662703.443473934,10.282678773038297,48,99983.79404291698,529.1089029324155,1,High Risk
253827.13671320895,9.59742420274268,48,30705.792047713207,515.6570730440963,1,High Risk
545491.9869208259,14.49428252370955,36,127788.53594626671,530.4937507004656,0,High Risk
761428.5508564856,14.152663105568054,60,99915.92269795024,676.758816928921,0,Prime
178503.3530877545,14.520024993111225,24,82975.55269933182,605.4401176909678,0,Subprime
536926.7717064609,14.7318595937255,24,130491.76809208197,720.2438901170492,0,Prime
551976.5588496847,13.330393236095585,60,108452.53802663408,659.6814708187692,0,Subprime
656364.5743554621,18.469590315806247,24,65749.90284148869,800.4427774350432,1,Low Risk
252609.85782438362,9.197288064570454,60,82327.28929334988,551.0014241400521,0,High Risk
235908.67738314474,11.514508925659262,24,21071.77100555763,676.5417364087278,1,Prime
604388.3131233795,13.690235719552858,36,111925.70931646552,586.382818318028,0,Subprime
559396.9346466372,9.070433566537499,24,71121.44966024834,698.0170159318424,0,Prime
550098.5700691753,13.472436786703787,48,20683.254642830543,659.5948712218272,0,Subprime
569289.6418993952,18.984410497184054,60,44544.84291773025,570.5503340943695,1,High Risk
363995.0556843018,14.062659464887885,12,106127.3614534823,637.4278203112899,0,Subprime
546450.7394322007,14.69210271715605,12,128414.0814510846,655.8478461769321,0,Subprime
558614.4946597363,10.219505704482259,60,80612.7655675426,602.055284800382,0,Subprime
357129.7163947264,12.150915775881568,36,50538.45974021319,708.1733771986861,0,Prime
873154.9022289513,12.874410859028188,24,37377.50930962694,567.5125906664869,1,High Risk
594766.5841823575,13.046854709731297,36,122438.43854423324,817.2806846426531,0,Low Risk
261739.30055947028,17.844931385011307,12,93484.03335341682,726.2952240501484,0,Prime
631310.721726766,15.673073182175374,60,70095.81138065761,677.899289524283,0,Prime
305063.6659545357,10.665626129188905,60,62951.846417733774,850.0,0,Low Risk
657416.9207484904,14.739514335296015,36,100154.88913200886,625.2560939285388,0,Subprime
731719.1158014808,15.494665245490356,36,99329.55482214081,698.9100694051477,0,Prime
335863.5363296579,17.4204471155638,24,53102.467596321636,667.8144370879367,0,Subprime
692675.2258488643,18.741622059705122,48,45728.825272971735,713.7974154566259,0,Prime
582556.1853872996,10.954717424516394,48,47242.91912859517,769.6893093653297,0,Low Risk
664412.031998898,11.567427466368986,24,65953.2625857693,693.9159501289088,0,Prime
879358.5965307895,10.22726642325615,48,59306.43639251731,733.3435116252159,0,Prime
450922.3767994259,13.297940422679055,12,128542.76054508697,605.9689607722727,0,Subprime
349252.7671285021,15.399075123339003,48,64886.581332216825,633.5079881228961,0,Subprime
322097.11407489533,16.962003549767307,24,42510.006561508104,781.0630048210403,0,Low Risk
336837.94300691236,13.772146929072433,48,44195.07677301418,697.7484930823488,0,Prime
484579.6581171792,13.040457430235469,60,74480.85196875213,669.8658915886551,0,Subprime
568230.3949633287,14.455273976746222,36,25336.276310634785,589.7404632733186,0,Subprime
555338.1598660038,11.494571295109932,12,78196.3785841281,727.327686490796,0,Prime
665436.6498072047,20.26861616508432,60,39913.71498555307,587.4827663214032,1,Subprime
502600.3783755814,9.177016918645824,60,114758.31100225104,563.9067315383916,0,High Risk
790706.8154314633,14.554221736687174,24,83496.87047725834,659.1940600823137,0,Subprime
447068.63335240877,20.070818657688918,36,143630.7080459733,457.8005973177047,1,High Risk
1044033.8333179237,14.020399533679994,36,73153.98261493369,698.886137309678,0,Prime
625133.4695530012,13.429882894995517,12,15000.0,680.1555357393031,0,Prime
328568.4887167435,12.927663731568718,24,123730.43601068611,621.7757153091312,0,Subprime
285821.5003877776,13.458824954712776,12,95057.69475431205,629.030547315197,0,Subprime
596494.483048637,18.11854542402959,48,99707.2363688202,640.4543276266882,0,Subprime
455307.4429348298,7.3644142660114795,60,49922.49230767853,586.8698097962126,0,Subprime
642800.0988184183,18.600301103888977,12,78714.55833213833,664.7658101998635,0,Subprime
594647.5249147089,9.728128542649564,60,85593.82625406979,630.0484055691588,0,Subprime
485434.21746862546,13.200043012296756,24,72865.38147181705,658.9961722630895,0,Subprime
330641.256386319,12.712266739104015,48,27969.115242395783,637.5417131732205,0,Subprime
197030.55506282707,15.76565980931216,24,163060.76144777163,621.7977062007002,0,Subprime
410697.0095865958,9.205626944348758,48,105074.87713484676,672.279409875011,0,Prime
671279.7588646945,15.386517998245829,48,92617.52141061188,712.4879874345208,0,Prime
542818.7488260408,20.072928869860558,60,119416.56863041938,608.0184683865682,0,Subprime
250852.2442576024,9.910477986221569,24,99325.76633116524,681.6378633316766,0,Prime
534636.1851702364,14.569118502831188,24,59683.91359760899,691.5544328411353,0,Prime
577063.4759457674,12.014053466610173,12,117493.4827345307,547.2908894394743,1,High Risk
323228.5127597734,15.277661618579106,24,105566.48019734045,728.1235580123047,0,Prime
530745.0211891056,14.057443332247257,12,60821.42548057824,814.5161064524791,0,Low Risk
511641.74368919997,12.075539272867072,36,103700.44004855135,642.9523447469963,0,Subprime
271405.9404338754,15.463616854613221,36,72782.89903471757,636.3043673036776,0,Subprime
571557.4720696567,19.41304432936023,36,86254.34599395838,632.9595070723722,0,Subprime
612156.9052736468,13.427288624818104,24,97989.51400739678,699.6484603839443,0,Prime
716610.2486350554,16.159273826444547,24,121054.9310391488,690.8622821319849,0,Prime
710760.4104069807,10.120181126386509,12,60620.120446188375,522.7471038143317,0,High Risk
224466.1264085818,11.130690869545974,48,90948.8654195679,580.7103159812671,0,Subprime
312434.9920169754,15.417218833641133,12,140471.78678693587,690.585027991335,0,Prime
603007.053441732,18.452348085607895,36,74718.57511919145,638.3982584096199,0,Subprime
602757.1901824417,15.06684004635698,12,85896.70333098747,556.7105674208384,0,High Risk
603009.5372612096,13.060825908430537,48,140426.91423433964,770.0208144230413,0,Low Risk
1270546.2981309444,13.997874216270063,24,99124.32415847314,586.0229386993616,0,Subprime
614178.1021386334,10.248776798090848,12,35780.591625166526,652.8621697597542,0,Subprime
727113.1280361197,15.8135459790661,36,56135.67043536906,636.2784710856821,0,Subprime
690800.3526986404,16.646999186970227,36,100687.37643096328,563.7048959239554,0,High Risk
630278.2502611596,12.643729001500759,24,92690.14723671426,664.7963841744347,0,Subprime
436946.1510719309,12.589873556721496,12,84877.39600216458,681.3685506799536,0,Prime
651793.8440986535,14.797634688956146,48,144836.72549499394,612.5859174536298,0,Subprime
345434.9570924856,12.689840791878213,24,61475.38531524816,623.1046188488414,0,Subprime
452636.2786519982,13.801602156122533,12,77767.58529703891,698.038963421009,0,Prime
402927.2904341793,20.299165367499548,60,21106.693716852933,491.98893874692897,1,High Risk
516374.8278772645,13.25892289776201,36,114819.79666402916,582.3996919801823,0,Subprime
962931.7133347017,12.924979543936333,48,56034.4309681226,667.0747917225904,0,Subprime
126546.96148165036,12.057374583094523,48,111714.10306402788,607.8609018407907,0,Subprime
637252.0380749027,16.23257591449981,48,108560.90394311905,606.7176749016439,0,Subprime
177456.82576206967,13.45632748034569,36,150472.97776363336,722.1354036956935,0,Prime
405613.6268421133,12.051880885035722,12,99478.26729593636,599.3340574369854,0,Subprime
717790.1193934733,17.963912096819037,24,69317.40127039673,808.3342600891059,0,Low Risk
512856.0038190925,18.258809013540912,12,93608.68879991276,509.63899376888656,1,High Risk
284451.04441413877,12.198729302783885,24,57222.41456514236,473.0404933422345,0,High Risk
356939.2581480064,8.400380145918152,48,89574.80532526727,720.3148929174766,0,Prime
635919.5497869352,17.022541069510766,12,73972.92483372883,571.2838992502361,0,High Risk
353926.6736565727,11.946110522719987,48,77889.84650984386,572.6341129381605,0,High Risk
543291.7179163949,16.371876797488305,60,53049.00536217309,728.7786619055742,0,Prime
509114.36798076273,8.089688546864494,48,89013.3817928833,610.2185131162831,0,Subprime
369679.9304788366,16.67779201489793,48,104726.90077058205,722.8289452691924,0,Prime
928788.8178650651,10.366484212157657,24,30437.096159848188,601.1670445798032,0,Subprime
626783.8044636023,16.192292357199573,60,59342.220402045874,679.0025217580245,0,Prime
94971.48266847857,14.042819203509302,48,85041.4150754081,609.0862016017263,0,Subprime
537290.8629538856,11.138181741810065,48,15000.0,576.415017930377,1,High Risk
367642.7070463224,12.778891061219658,60,132207.93301138756,788.4481086027774,0,Low Risk
670486.6669592448,16.058955370870102,60,58666.67556340835,739.3169741087861,0,Prime
341495.85231345985,14.317683359345702,12,51857.374437247156,591.8687453653856,0,Subprime
477052.7117066202,15.753238941417452,24,73779.73171229634,635.7283170548449,0,Subprime
600997.4557960915,19.929321753546457,60,84121.1851639467,768.0981438729025,0,Low Risk
673151.0388340243,9.307275164866846,60,57305.81306142987,570.9423667950782,0,High Risk
259940.71858884476,18.85163772490587,36,109412.4099796678,575.271357055353,1,High Risk
433099.7528318103,14.313067812569638,60,91991.1961832367,687.6048377843883,0,Prime
405010.9377678088,11.303647855030615,24,54882.74319183933,831.6395648208977,0,Low Risk
369334.15348525764,10.00905912278303,48,64327.846492328856,654.306524149396,0,Subprime
853090.8480562194,13.4326388276689,48,34496.90910829043,733.9848991589361,1,Prime
580996.3421921912,16.764950335773378,48,42399.77313395492,568.6048194969065,1,High Risk
247823.20913299097,13.617352638867397,48,91627.94984637084,678.8841873548827,0,Prime
683572.3894109552,18.533464790742045,36,55194.063317905144,621.2308230518751,0,Subprime
924431.2394025266,9.646472929845324,60,134128.53359147278,799.3300062901399,0,Low Risk
706493.0521102294,13.963733156461837,48,82127.69600927428,777.8952675530504,0,Low Risk
196126.0068091973,10.242819666760642,12,39415.297246880145,832.353338948109,0,Low Risk
403153.18542674975,15.090895647874904,48,45699.581417973124,594.3608568722074,0,Subprime
753382.2298373246,16.6606621702919,60,111589.09084044283,652.8398565924754,0,Subprime
358466.10687624384,12.73771461895684,48,77704.59192172777,680.0133539459249,0,Prime
588763.8856292457,6.187358430118597,36,109759.84479672907,597.4825890939293,0,Subprime
654926.8106858673,14.596844440389484,24,69005.36059765803,660.4844159781923,0,Subprime
314613.9056843834,15.310215655200528,24,63193.037224894695,722.7182429087063,0,Prime
488094.92878764,15.212884264885092,60,113583.42113103156,605.9707577814796,0,Subprime
50000.0,17.707346575466463,24,54242.67868914222,593.7314832210379,0,Subprime
295122.47173314204,10.786838961052855,24,94671.62400111085,588.4275379064106,0,Subprime
449486.36972136796,16.040648316351348,12,73646.49168795896,542.503809216905,1,High Risk
250443.3636070301,17.577522537433925,60,106361.70240127324,718.3194293674815,0,Prime
826482.2607863271,8.664237247980449,60,134554.519626074,593.5465331419296,0,Subprime
213971.72440787347,14.958955477756932,24,68234.66950396972,585.111413580096,0,Subprime
411991.10266060324,12.487460506976985,24,63585.73583610632,692.3255868138192,0,Prime
526148.1154572183,13.755431980695063,24,99974.25167112067,649.1507183293988,0,Subprime
788254.6578132231,15.043029450615009,36,47539.89214390796,607.9575711915923,0,Subprime
212827.56976411212,12.538314307659343,48,128493.96373550105,714.8503048532801,0,Prime
732632.7504309919,11.972875762515164,36,123380.6765016942,604.7643094474062,0,Subprime
502046.6122039174,14.102457252464074,60,50026.410825187086,475.84392221648443,1,High Risk
303698.26979040983,10.738262183411592,12,32506.25541779281,756.6594390964651,0,Low Risk
592420.6948526541,10.742524613344443,48,45182.68541431346,583.7443619448537,0,Subprime
539811.939114694,16.03811984886951,12,45638.91080122647,592.4836656915788,0,Subprime
379956.62456824107,10.55361789452403,60,104052.8169306493,592.837035121756,0,Subprime
513960.4169980038,15.998937502727635,60,126475.1094733821,654.7680791179708,0,Subprime
422937.28062764794,15.387773878561854,12,103703.78637856472,628.0606034234968,0,Subprime
522703.4690502496,8.82257981362821,12,72914.23350150627,729.045689028651,0,Prime
632426.1349042093,11.967306042993034,12,90274.95400731242,781.6091194008324,0,Low Risk
817203.3632290704,17.58232820914212,60,53906.65901584894,595.6640417254106,0,Subprime
252436.9002346302,11.056503406580955,24,112916.24136692697,574.95940607746,1,High Risk
926606.6749312533,12.606787213071836,12,92960.86819947598,608.2478900250263,0,Subprime
109582.44009549962,15.38618267975569,48,103195.93346049389,685.1246633056243,0,Prime
469642.9809928833,16.350171527847785,60,58173.92894420674,640.6911224989934,0,Subprime
617663.4412969153,13.245383341866512,36,74942.0843939406,609.9670791832389,0,Subprime
556198.3735470065,12.207469415925075,36,101752.19419943608,546.239160258683,1,High Risk
375460.09603588126,18.267109585095522,48,123305.38698570844,473.2888925759654,1,High Risk
458375.54992854496,19.216698991392736,24,61757.00721654245,569.6225955838854,1,High Risk
401399.81306823343,16.936574152345386,12,103413.55721512459,751.1532689481503,0,Low Risk
382127.0486111577,14.255954427695071,60,58637.84610169148,684.8794218451358,0,Prime
669920.4194042049,11.57520283507722,12,143515.81318479826,634.6771741809973,0,Subprime
571403.0971930095,11.508666780330305,60,67555.25875182412,708.3829437245912,0,Prime
361418.08094786917,15.567542315797272,36,99305.15522156334,546.9693475918865,1,High Risk
679919.9750866501,15.255194662666051,12,84968.28845700898,654.5400041244498,0,Subprime
561459.9041753219,18.204795778839287,48,158159.0936408148,507.09159005280463,1,High Risk
662572.4237677921,15.951350277608418,24,86897.04824073691,677.6815220922786,0,Prime
625925.7683847224,9.490759094720545,48,64548.31931029616,670.7612140836343,0,Prime
334200.9978155856,17.155842853168757,24,99185.19537839189,672.6646578550918,0,Prime
387963.7919606061,11.005818118056762,12,98517.2260032612,743.409446396786,0,Low Risk
649458.7210246524,12.848086184142945,12,75275.90408723174,712.0795837223288,0,Prime
622074.0530866929,14.750600618755083,24,47157.02407315675,553.2869107738188,0,High Risk
495819.68120717036,19.987002469351893,36,64160.0341582893,744.6175462304542,0,Low Risk
523465.4766617564,23.329755668016084,60,106444.96844434759,633.2438441345068,1,Subprime
755532.979157685,15.820169177408548,48,27576.53161298111,492.38811986683726,1,High Risk
381685.722232834,13.450410143838836,48,72558.62301842861,641.2995500073756,0,Subprime
609419.4762340076,15.603516945441651,48,109845.9176545035,701.7703272113877,0,Prime
459561.4695132212,16.662966277621507,12,77195.11342999857,568.8918482443238,0,High Risk
456463.7593545559,13.037997123328426,48,145211.30418658227,756.6286594965751,0,Low Risk
719755.3703974381,19.385634067736966,60,27660.49279104043,576.134675267827,1,High Risk
665083.2697976059,14.690212277574206,60,51158.963932416984,611.5126433971503,0,Subprime
662701.9272001277,15.493229267274183,24,15000.0,596.8209971407144,0,Subprime
761095.7614308659,15.997772756163384,12,139810.717002359,513.2819031056152,0,High Risk
504200.7683265518,15.264759831843367,60,51650.385477451084,570.5493101823708,0,High Risk
636390.5942589928,16.516821501408835,36,20392.360648150017,593.0512556395385,1,Subprime
437946.6486813088,12.148240440359231,12,61642.420567236964,639.5915572922893,0,Subprime
564833.2704976884,12.325094738161908,12,38215.7267543459,409.8820406495118,1,High Risk
473971.3891264631,10.699537301084916,60,61856.45329083792,707.3242418687863,0,Prime
519399.1929985436,15.318503691860679,36,81236.87752834712,706.5338961154937,0,Prime
619031.4050873828,16.33680951053634,24,104147.63312141302,744.5168996471502,0,Low Risk
336355.8633533055,15.373318598455658,60,74759.93179667187,530.6675617533278,0,High Risk
918477.455137092,19.02347730004261,36,80758.72098004028,626.5734864134531,1,Subprime
298796.5237000596,13.98321194351286,12,62552.14330789608,725.3148496119647,0,Prime
257162.27744245357,16.006224966777538,36,34649.05318251023,732.1996654182301,0,Prime
731622.1747000136,10.724897371582056,12,24603.792711022965,768.3144750602045,0,Low Risk
658332.5387925871,12.838700892576798,60,69065.42658990916,658.2171979657768,0,Subprime
624823.963410431,16.08661327269733,60,82539.19335629641,645.5220913646517,0,Subprime
625669.101852856,16.547306332229432,48,66841.56436321247,525.3640643049328,0,High Risk
497550.6454306171,13.118099157007453,48,25720.19021415974,735.1900955381848,0,Prime
320549.1257028337,13.785202244425799,48,86042.00279804516,613.1748606667162,0,Subprime
515160.9116387453,9.446378759957572,60,128879.14648712942,652.7152781948585,0,Subprime
364567.65769757767,12.928912397580172,24,76560.60459466556,647.3736458204818,0,Subprime
695023.9466835503,16.67114949055936,60,62614.08267271752,458.427819325433,0,High Risk
470588.52369957225,15.7256150483197,36,78185.17879269442,585.0835420770627,0,Subprime
334900.5606414977,15.50199716414363,60,46868.60466310644,686.3105096029211,0,Prime
435722.8316694013,14.14932106154288,60,44933.026121115545,646.1131357775054,0,Subprime
582586.2908551248,14.02118947588453,12,93542.4226428391,686.9458380669128,0,Prime
387255.08943920507,12.019036581579659,12,109709.64587096998,712.7077552249108,0,Prime
335555.9208867137,16.096485260607604,12,75587.04943416739,584.1407535486015,0,Subprime
548737.4422983825,15.26291883316817,60,20787.048571526997,608.7879775483356,0,Subprime
548993.3142217445,15.476056543978398,24,90600.46779607252,638.705029955296,0,Subprime
